导出数据总量:202
导出时间:2026-03-19 16:27:05
currency_id,withdrawal_amount,withdrawal_usdt,withdrawal_cnt
2,283526494.0598199,283526494.0598199,179497
34,111523023.65623096,211130921.3027035,891
6,15741.052835,11995487.206239112,18575
1,108.76714751999995,10007370.01538406,233
53,31912.914999999997,6159847.7331848405,471
3,925.0853805499992,2834725.577261553,467
269,52155.077174000005,1494504.14242009,21
4,5750619.584973996,1022942.1178442147,5081
420,771352.83575,822400.2992129596,44
419,5992855.170298999,565802.5034876625,44
5,527321.2766000007,527304.3503129703,605
157,82079.7701,324899.5773603002,53
16,403372.4186350069,244654.55329442729,5051
425,399004159.51036805,170383.55750046307,166
520,15578955.552100003,146836.50352259006,757
37,106989.03570000004,135394.82365675998,66
543,117489.24919999999,120260.97649318,22
163,133736.43591,118305.73694341499,26
44,51543.670300000005,106924.83255663997,117
217,6069372.998,105970.05395368997,8
411,627518.6905739999,84654.0712293709,40
225,5726020.46,83330.38545573998,15
305,12073.404306,50329.076373107004,6
444,3905199.1237570015,48726.622595684756,136
264,710003.0091,47131.862621680004,7
330,253261.001164,29880.829253197124,20
202,6526.026139999999,29649.291783799996,14
285,53589.79859,28071.391272583405,6
14,1750.069014,27044.1713766,6
351,386742.6557790001,25609.888518934073,74
201,898060.3900000001,25571.374263129997,7
281,511382.10169999994,25367.214750019994,23
343,210732754.05514,24461.778877061584,54
339,154.22484000000003,21810.640925800002,39
199,2532093.871399999,21322.465116052197,11
263,276981.2252,19423.575334070003,14
404,26191.583988000006,18714.99637302624,344
200,50600436429,17406.935537156372,10
94,200639.530656,16856.357446437898,6
28,25838.743179,16469.9170209291,5
9,8800,16209.8,2
43,133929.5851,14799.414831765,18
150,508124.87999999995,13703.952978769992,705
373,10129.511999999999,12856.795965500001,6
40,5902.191000000004,12654.210307059997,274
140,4055.301195,11568.372411114498,15
45,97381.02706,11556.2943222132,21
64,5032.248378,11346.5735706156,3
368,1314264.702198,11174.625935409758,7
266,979255.49,10483.63218748,7
27,488.48386899999997,9720.116567377001,3
79,3617.121577000002,9399.427897024,108
396,1144483.593951,8794.319070886817,2
253,36356.0083,8477.65783764,15
65,320508.6459,8374.985261560998,5
403,2837994.461885,8213.404265896374,14
251,36433.6962,8192.0415894,5
154,138791.2561,7705.576895781,5
18,436701577,7272.414634895,11
271,9646.34326,7221.664795524801,11
477,153943.52917,5991.3653952964,2
272,4772.323670000001,5990.466184059,11
143,126838.24199999997,5456.493155840001,363
96,182615.8111000002,4763.046790281082,161
294,10033.176880000003,4681.1683017498,17
205,79467.4296,4617.359533696,3
257,49.024968,4235.26698552,1
434,1268.299485,3763.693327035,6
475,28005412.505315006,3575.0185205881367,86
114,23233.269683000002,3467.5570471275996,180
522,598075.9039200001,3241.686329438768,5
138,15808.6198,3018.0715040900004,21
399,5000,3005.8500000000004,2
109,29817.299809,2832.98628668084,2
314,1694707.65,2744.3605264000003,5
159,94.2342,2738.420008,2
20,5001.2087,2630.00584643,2
142,50681386,2250.8799533429997,16
511,1823.8174,2111.4726975,2
118,304132335.6031071,2044.848272981148,7
166,2145.5595,1981.42419825,1
60,287.24434399999996,1954.9971788760001,22
71,1443.9647340000001,1857.6801435894,2
213,19230164.34,1818.8756126330002,8
80,19.973318,1730.0197608600001,2
292,3269602.91,1641.7304992269999,9
50,19.456,1400.1704389999998,23
295,140,1285.6399999999999,2
496,13270.781700000001,1278.013277025,4
145,1310.2441,1263.0368856,10
276,797560.3234000001,1209.5302871981,3
402,8135.196082,1168.20750041165,4
32,928.2796,998.45753776,1
394,59,991.986,2
93,30141.380781000003,966.79327308652,20
36,267.8354119,960.5386603823999,19
428,321.171993,904.5125423875,2
237,7828.03,894.9470446680001,13
78,269.587476,891.7212969473995,81
88,31.249936000000005,882.7933546899999,31
7,4476.573421,802.2019570432,1
353,870,789.3399999999999,4
